"iso","umd_tree_cover_extent_2000__ha","area__ha"
"MDV",5569.75391626024499525,27912.71303579378293979
"MEX",53177141.60100837537221854,195185464.54580971542041176
"MKD",781684.416775871512049215,2482514.957615095330917011
"MLI",25097.99975557917925968,125119256.16726185885196666
"MLT",116.70431756510773586,32334.79077928957697277
"MMR",42863374.09366540020278654,66929667.25587704817221801
"MNE",616440.456206443203207755,1333523.258734986543052954
"MNG",4090464.886503384268528883,156624744.504998529462325274
"MOZ",28917947.26893670748865841,78729716.65134672849295334
"MRT",33.3162228607771385,104117150.64113467567851938
"MSR",4582.52725113949526628,10061.82207914417799285
"MTQ",74649.67904764923123825,111787.95517228283896787
"MUS",71304.81704856987305256,191366.76446962323538996
"MWI",1521821.68799241937769462,11802885.39490364693735495
"MYS",29430562.39760371914015652,32938348.75983425511354462
"MYT",33577.05042572686485068,39165.17965127723618159
"NAM",3835.35235433674357168,82385622.18473294918258684
"NCL",1440330.50386997983061595,1882559.40746820463495390
"NER",2.32870724518654239,118366970.16949733733538109
"NFK",0.0,4062.59887483263908
"NGA",10048731.32858091057647163,90840998.02040675268785590
"NIC",7776807.52116483481637393,12821978.47609661365751310
"NLD",593051.675286591488011897,3766566.364397533594139429
"NOR",11739521.784678477970387760,32512220.997983146238661371
"NPL",5161040.90247101811047946,14766249.54440644808277833
"NRU",0.0,2215.2335263392624835
"NZL",11255742.604312008399562331,26716574.891964910676426299
"OMN",0.35978744001847685,30933274.08643537515477923
"PAK",978655.889162398389448834,87417630.595541862535462948
"PAN",5700499.75915415766442646,7510419.90445392532212401
"PER",78087222.68306176925369547,129281868.51759768972211565
"PHL",18599416.94134223616624182,29585658.16289695234708555
"PLW",41263.46520917795772106,48743.20538078648209433
"PNG",42921809.05075418894416957,46363061.29037146060003365
"POL",10439489.725113538408589570,31239917.800089734595906789
"PRI",523696.33607207940287688,897037.27464481402417081
"PRK",5196389.714277026345177332,12275519.138589006430586995
"PRT",2302481.424513370800618226,8955505.678182200120147246
"PRY",24296867.55250509283671961,39958667.52152822759149992
"PSE",614.76689884257571291,621996.68332004655975179
"QAT",0.0,1162493.79962619722633269
"REU",170474.52507286531878950,251271.10501462541870789
"ROU",7915161.125355820808012384,23833793.638775491565685339
"RUS",761226477.307879429062532501,1689439968.564811080952253905
"RWA",497885.77544610896973423,2527769.91218271884727942
"SAU",6.80771239231888981,191598433.63231478677416396
"SDN",72712.56006033215444037,187213491.71252419331398401
"SEN",39568.36253798037955037,19688982.71259750316824091
"SGP",18784.23099652242302388,69703.69605878552320390
"SJM",0.0,5442472.373680792357
"SLB",2741617.78668092448160590,2853323.92968927708055441
"SLE",5617878.28584956785361971,7260135.88614937547099513
"SLV",988823.30823626638893868,2042272.85894949748293623
"SMR",829.540432717299907401,6122.35296019341888548
"SOM",87128.07478371449610961,63353849.52120750462516153
"SPM",5454.0719722178306736,22663.36369049233311332
"SRB",2730300.360427811232252165,7823140.491428327364204671
"SSD",11386560.10479261900366677,62809870.69840868457291962
"STP",14213.57470684987991715,100217.98772541141932849
"SUR",13949809.56768480116876777,14642556.86529311940905756
"SVK",2397197.266003086529695741,4909915.804720884898536631
"SVN",1293520.687200926938191270,1998090.785492695236283384
