"iso","Year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MDA",2011,186.812495174709352919,54064.1299237349142149
"MDG",2011,162323.48199745348448361,81650261.996474383919550
"MDV",2011,10.56215889122000042,416.095854511629138
"MEX",2011,186771.29961970613633524,71728041.3888626905621603
"MKD",2011,2156.632676696115923332,908823.547565374325314
"MLI",2011,165.78566284809359960,49729.744332105624927
"MLT",2011,1.438825872669233592,392.322290778081536
"MMR",2011,135716.36420600656964964,75071829.602491988596002
"MNE",2011,494.315599968368380339,207095.661843420298613
"MNG",2011,3550.509212362296914819,864818.356491863379079
"MOZ",2011,150242.38837890645946381,49865187.360289288296171
"MSR",2011,6.34311255002786874,3663.81081497606625
"MTQ",2011,152.99273973808525337,80460.280707780480309
"MUS",2011,487.31949644172651489,208471.807630955714671
"MWI",2011,8216.20994386113169485,3458754.488408768411539
"MYS",2011,463078.37202888787743912,299809967.712636897747321
"MYT",2011,2.32729751367039261,1006.84488062788300
"NAM",2011,70.90416643325950228,12470.941955336455615
"NCL",2011,709.15686589387994361,311213.569051853918333
"NGA",2011,53891.48864102260505822,22379372.000259232090781
"NIC",2011,43289.75705201762486617,24000729.255001794272127
"NLD",2011,1155.291880510903871409,505773.945116381268179
"NOR",2011,32768.919544235093886868,7973354.2543905433128409
"NPL",2011,2816.45996995680238171,1594968.996667665320185
"NZL",2011,59943.053830074878800195,34751000.359724461115076
"PAK",2011,463.38444301408593090,181472.859733791892094
"PAN",2011,23104.09350381888955373,12910538.304298549490233
"PER",2011,125265.09054642971867573,81700505.848038371028392
"PHL",2011,33252.86178407749106767,20422464.657838175162682
"PLW",2011,30.59188477754301878,23626.494429159081060
"PNG",2011,53046.45901355806415712,40050755.3337440028962565
"POL",2011,56650.180834734302281756,21645167.524785524434697
"PRI",2011,1227.76250043909010463,618835.609613365769463
"PRK",2011,5431.467606532444053563,1768589.621020569230045
"PRT",2011,26672.763593252384354242,9505479.6759911773892604
"PRY",2011,457195.73343445626379064,104884905.9202776196467575
"PSE",2011,0.26135731809680118,60.056280221168633
"REU",2011,562.41627106518596765,253299.247529166281419
"ROU",2011,16927.421745702325395945,8038812.7301502266397125
"RUS",2011,3021487.831280331952343979,584396021.7816513044284770
"RWA",2011,925.93457248248936793,518843.912203894127646
"SDN",2011,205.23965825657676258,53352.653035312206075
"SEN",2011,116.84204874569477005,33388.922215440912767
"SGP",2011,73.91115390353505811,30006.047212450402793
"SLB",2011,5860.70599326172358962,4368635.794673331414892
"SLE",2011,33929.46108345538141321,15248414.730868614327288
"SLV",2011,3242.21900684608311293,1410819.340224957436722
"SOM",2011,184.50804264629270665,38870.862868587641199
"SPM",2011,0.05302911553602129,0.0
"SRB",2011,2210.161611254993895286,1030547.702688756683881
"SSD",2011,9011.57475271375899059,2818851.416920638574234
"SUR",2011,5696.75454984670812333,4412093.607086442866324
"SVK",2011,11543.845547855273755204,5485045.453844732952741
"SVN",2011,1436.134583705437861116,750590.585246180140376
"SWE",2011,205321.300743645742433946,51004486.2328100465736318
"SWZ",2011,2621.92453533246466430,1198178.895559638892276
"SXM",2011,2.5635234234330145,865.57492134271899
"SYR",2011,155.898351338234228306,44931.053994587902007
"TCA",2011,14.59910542802316929,3736.403217792637694
"TCD",2011,920.00017879783686602,250698.333415980406211
"TGO",2011,1255.77898023351491440,529468.731137706847032
"THA",2011,94544.69378047271738167,49611117.478750289086747
"TJK",2011,20.20170651738886830,6155.304026630792035
"TKM",2011,16.51523347594637431,4337.2126020454338147
"TLS",2011,1463.47666710669611780,776263.850578004419563
"TTO",2011,374.71947972305478858,210042.779283265293463
"TUN",2011,2203.890027901710560604,678353.8112844566691232
"TUR",2011,23887.927234926214147277,6433803.0210110978665204
"TWN",2011,1461.48699616043094615,753664.1942085096017165
"TZA",2011,137805.33465554910729308,46108650.1947651838317055
"UGA",2011,65067.31794219786033538,30848737.171061862578651
"UKR",2011,60355.874019133654508115,24058512.2588068687946330
"UMI",2011,0.1461976258094535,0.0
"URY",2011,28001.41284411304090660,20273202.839121595541886
"USA",2011,1663578.830535419864673913,694053066.3163804883152912
"UZB",2011,33.416260081523157454,9447.819500872743851
"VCT",2011,30.42107747921505937,16669.23059528690128
"VEN",2011,74441.21988581298977981,32737876.198128933775806
"VGB",2011,15.34673509676345367,6309.586758859340098
"VIR",2011,49.91760351435812799,20854.52134682121113
"VNM",2011,130786.40739750939706902,88118961.013314161682969
"VUT",2011,607.10441730048674670,355414.521984051545553
"XAD",2011,1.08083381757372329,381.459936115598199
"XCA",2011,208.11693325968748150,4995.07683245027454
"XKO",2011,802.003887875061006030,359272.749874736185289
"XNC",2011,14.06764725298177728,4139.498041204187480
"ZAF",2011,69616.79323772127419796,44850520.0641888429515035
"ZMB",2011,60076.41864813309925666,24172066.393744662368694
"ZWE",2011,9039.17270342864597363,3660351.249958491076120
"ABW",2012,0.150324923185766,34.926465724047189
"AFG",2012,39.30761565610413204,12369.180764648884985
"AGO",2012,180754.82068446980475269,58224049.011111555249303
"AIA",2012,1.9026141586272790,411.12146417545792
"ALA",2012,654.72864963427248274,182293.281435272511097
"ALB",2012,5395.648852905308203780,2071848.269488472248758
"AND",2012,7.69771963730277847,3924.69696795061300
"ARG",2012,478177.910644163081042651,114267793.9513068786712555
"ARM",2012,197.678176409669081265,61891.7473323376791752
"ATG",2012,33.34539066602695722,10125.307463513971842
"AUS",2012,139802.757736994791178362,45530698.7207435266443821
"AUT",2012,11158.429233729288481858,5661478.973535860972127
"AZE",2012,597.631968693666318128,165614.5636878747120934
"BDI",2012,871.16292040772044738,326682.426999774737503
"BEL",2012,5635.167607287682677586,3096096.470347744318882
"BEN",2012,2865.41175458794847126,1168939.396838662126578
"BES",2012,3.22207849079160341,716.942513818589604
"BFA",2012,0.37773386356498495,92.636385549189589
"BGD",2012,5359.45780582357215207,2779517.560798088382443
"BGR",2012,9977.505725370979908269,3849955.147897957342507
"BHS",2012,370.59397257431878944,111884.412440468623489
"BIH",2012,2433.756924490836087288,995373.0049445447536775
"BLM",2012,0.14661330794054026,44.394761690456722
"BLR",2012,39591.092045890570244490,14283535.468030966452997
"BLZ",2012,11527.96759672807159477,5258238.500474259837002
"BMU",2012,0.58770530315756040,162.680322973877755
"BOL",2012,273544.01074463795372723,126479707.1142616393583715
"BRA",2012,2918633.14102400837613653,1520319040.415290644958760
"BRB",2012,116.54373804809406874,46795.094962195807715
"BRN",2012,1836.78286666830750531,1295708.772105544822600
"BTN",2012,766.21239536059320165,437355.030132093485719
"BWA",2012,15.78723676302065704,2776.081812675840796
"CAF",2012,57313.88907390682888318,26687380.326073845770988
"CAN",2012,2545494.223989625229467327,463084162.5493565764890583
"CHE",2012,1518.064677247170537974,822141.269392180504911
"CHL",2012,174809.511850294745857128,69052205.0024101625612458
"CHN",2012,605004.418745598782585686,270667257.3717665578809535
"CIV",2012,95946.03842657188492836,46353450.823973009320836
"CMR",2012,51267.60247466882379475,28723442.451872746486188
"COD",2012,630999.55115277176562824,372460754.778801230301216
"COG",2012,32143.61736517885669086,18772122.504707023391130
"COL",2012,227707.04511266744088356,125814572.990878135047020
"COM",2012,127.29285184641952575,57738.097342515485933
"CPV",2012,8.99303695633846316,0.0
"CRI",2012,10367.07175275415813225,5472408.311288552093719
"CUB",2012,10344.97798773424029674,4077462.190462539353592
"CUW",2012,7.37549863178825585,2148.434898022712437
"CYM",2012,9.22767176285699345,3099.522349892035783
"CYP",2012,54.30803393569245628,12598.700278940374316
"CZE",2012,14006.252809276593394255,6856379.783741795648521
"DEU",2012,26007.353951440388140214,13135186.798007010227101
"DMA",2012,144.72383572320517213,87164.396320065553851
"DNK",2012,4451.952352687746506266,1499553.9165872433611116
"DOM",2012,17905.56949463653928640,7707800.269821015253450
"DZA",2012,10912.733208615931271924,3401796.5392845098051245
"ECU",2012,74205.96549569065341549,46022634.983374320403487
"EGY",2012,438.85342805090364769,96532.467218295163299
"ESP",2012,80495.829714422513944515,26086451.9058145576903050
"EST",2012,17685.111359155988336654,5238215.8237120849619502
"ETH",2012,41631.93539087016602907,19622522.558802403610920
"FIN",2012,160310.486725519587157712,34566626.6984383315988221
"FJI",2012,1219.76655060834088046,654768.717161248884345
"FRA",2012,67302.618432094192908702,32268844.8837336689183885
"GAB",2012,17476.08258056707392759,10609877.954394950645132
"GBR",2012,35668.666246549457491316,15150482.9712893676569587
"GEO",2012,472.998931995082661911,184870.727111815574803
"GGY",2012,0.60468879427518225,233.298208228187598
"GHA",2012,36625.86841506740698613,18190317.240054167262947
"GIB",2012,0.062417929733069366,15.288267844818153
"GIN",2012,24485.56832253425444538,9999240.001001931532450
"GLP",2012,294.82241365656591993,117425.5258357985582685
"GMB",2012,40.69027206512608175,9157.166407841341599
"GNB",2012,3511.44947592674165759,1315932.181245477939962
"GNQ",2012,4952.74097306103082270,3101650.869425828805849
"GRC",2012,13242.084540181211383809,2619321.9956883731911550
